Date,Open,High,Low,Close,Nasdaq Index (NI),"Dow-Jones  Industrial 
Average (DJIA)",Shanghai Composite Index (SCI),Hang Seng Index (HSI)
2003-12-01,1.20339800,1.20400700,1.19440100,1.19650100,1447.1,9899.05,1432.7,12457.0
2003-12-02,1.19610100,1.21090300,1.19460000,1.20889700,1431.9,9853.64,1435.3,12412.2
2003-12-03,1.20900000,1.21300300,1.20770000,1.21229800,1419.8,9873.42,1445.0,12361.2
2003-12-04,1.21200400,1.21440300,1.20439800,1.20809400,1432.4,9930.82,1452.8,12342.7
2003-12-05,1.20780200,1.21909600,1.20659300,1.21869500,1406.9,9862.68,1451.1,12314.7
2003-12-08,1.21679700,1.22400500,1.21540700,1.22200100,1418.1,9965.27,1436.7,12177.4
2003-12-09,1.22210500,1.22770200,1.21979500,1.22499500,1383.7,9923.42,1443.4,12393.6
2003-12-10,1.22490500,1.22660300,1.21620500,1.21909600,1389.0,9921.86,1469.4,12398.4
2003-12-11,1.21909600,1.22349600,1.21229800,1.22240400,1417.0,10008.16,1470.0,12554.6
2003-12-12,1.22270300,1.23060300,1.22130000,1.22789800,1417.3,10042.16,1470.8,12594.4
2003-12-15,1.21869500,1.23249900,1.21780400,1.23199700,1396.8,10022.82,1470.4,12520.2
2003-12-16,1.23140600,1.23589500,1.23049700,1.23219500,1403.3,10129.56,1466.3,12260.3
2003-12-17,1.23199700,1.24200500,1.22999700,1.24020200,1400.0,10145.26,1454.0,12193.1
2003-12-18,1.24020200,1.24419900,1.23659800,1.24229800,1431.3,10248.08,1457.3,12240.3
2003-12-19,1.24220500,1.24350300,1.23510200,1.23849700,1426.2,10278.22,1446.3,12371.8
2003-12-22,1.23569700,1.24460100,1.23569700,1.23989500,1431.7,10338.00,1493.0,12488.0
2003-12-23,1.23989500,1.26720200,1.23880400,1.24000300,1448.2,10341.26,1500.6,12420.5
2003-12-24,1.24009500,1.24719400,1.24000300,1.24529900,1443.2,10305.19,1513.8,12456.7
2003-12-25,1.24570200,1.24700700,1.24430700,1.24480300,#N/A,#N/A,1512.6,null
2003-12-26,1.24500400,1.24710000,1.24269900,1.24319400,1443.9,10324.67,1514.8,null
2003-12-29,1.24339400,1.25079700,1.24299300,1.24839300,1470.4,10450.00,1496.4,12464.3
2003-12-30,1.24859500,1.25629700,1.24829900,1.25489400,1470.0,10425.04,1511.7,12526.7
2003-12-31,1.25500400,1.26489400,1.25300700,1.25900200,1467.9,10453.92,1497.0,12575.9
2004-01-01,1.25900200,1.26079600,1.24739600,1.25819400,#N/A,#N/A,null,null
2004-01-02,1.25819400,1.26280200,1.25269300,1.25819400,1463.6,10409.85,1517.2,12801.5
2004-01-05,1.26390300,1.26940600,1.26369500,1.26869800,1496.6,10544.07,1568.4,13005.3
2004-01-06,1.26890700,1.28080300,1.26720200,1.27210300,1501.3,10538.66,1574.5,13036.3
2004-01-07,1.27239400,1.27399900,1.26249900,1.26409500,1514.3,10529.03,1587.2,13157.7
2004-01-08,1.26409500,1.27870700,1.25650200,1.27749800,1530.7,10592.44,1610.1,13203.6
2004-01-09,1.27749800,1.28670300,1.27129400,1.28589200,1520.5,10458.89,1581.5,13385.8
2004-01-12,1.28480200,1.28970700,1.27380400,1.27409600,1539.8,10485.18,1618.5,13352.2
2004-01-13,1.27440500,1.27970500,1.27189200,1.27859300,1524.8,10427.18,1612.7,13396.7
2004-01-14,1.27880500,1.27880500,1.24060200,1.26510200,1534.1,10538.37,1592.4,13320.9
2004-01-15,1.26559900,1.26710600,1.25689700,1.26009700,1532.0,10553.85,1586.5,13249.8
2004-01-16,1.26000100,1.26100200,1.23640000,1.23980300,1553.6,10600.51,1600.4,13167.8
2004-01-19,1.23869700,1.24240600,1.23400400,1.23540700,#N/A,#N/A,null,13253.3
2004-01-20,1.23510200,1.26020800,1.23499500,1.25890700,1552.9,10528.66,null,13570.4
2004-01-21,1.25809900,1.26699400,1.25659700,1.26590300,1546.6,10623.62,null,13750.6
2004-01-22,1.26580700,1.27489200,1.26449400,1.27250800,1530.4,10623.18,null,null
2004-01-23,1.27239400,1.27759600,1.25700800,1.25830500,1531.2,10568.29,null,null
2004-01-26,1.25749800,1.26109800,1.24610600,1.24879800,1553.7,10702.51,null,13727.3
2004-01-27,1.24859500,1.26599900,1.24469400,1.26369500,1519.2,10609.92,null,13761.9
2004-01-28,1.26340800,1.26439800,1.24200500,1.24419900,1491.6,10468.37,null,13431.8
2004-01-29,1.24410600,1.25269300,1.23710300,1.24100300,1496.4,10510.29,1628.8,13334.0
2004-01-30,1.24100300,1.24850200,1.23549800,1.24680500,1493.1,10488.07,1590.7,13289.4
