Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2003-12-01,1.203398,1.204007,1.194401,1.196501,1.196501,0.006897,1.199204,0.009606,1.19957675
2003-12-02,1.196101,1.210903,1.1946,1.208897,1.208897,-0.012796,1.2027515,0.016303,1.20262525
2003-12-03,1.209,1.213003,1.2077,1.212298,1.212298,-0.003298,1.2103515,0.005303,1.21050025
2003-12-04,1.212004,1.214403,1.204398,1.208094,1.208094,0.00391,1.2094005,0.010005,1.20972475
2003-12-05,1.207802,1.219096,1.206593,1.218695,1.218695,-0.010893,1.2128445,0.012503,1.2130465
2003-12-08,1.216797,1.224005,1.215407,1.222001,1.222001,-0.005204,1.219706,0.008598,1.2195525
2003-12-09,1.222105,1.227702,1.219795,1.224995,1.224995,-0.00289,1.2237485,0.007907,1.22364925
2003-12-10,1.224905,1.226603,1.216205,1.219096,1.219096,0.005809,1.221404,0.010398,1.22170225
2003-12-11,1.219096,1.223496,1.212298,1.222404,1.222404,-0.003308,1.217897,0.011198,1.2193235
2003-12-12,1.222703,1.230603,1.2213,1.227898,1.227898,-0.005195,1.2259515,0.009303,1.225626
2003-12-15,1.218695,1.232499,1.217804,1.231997,1.231997,-0.013302,1.2251515,0.014695,1.22524875
2003-12-16,1.231406,1.235895,1.230497,1.232195,1.232195,-0.000789,1.233196,0.005398,1.23249825
2003-12-17,1.231997,1.242005,1.229997,1.240202,1.240202,-0.008205,1.236001,0.012008,1.23605025
2003-12-18,1.240202,1.244199,1.236598,1.242298,1.242298,-0.002096,1.2403985,0.007601,1.24082425
2003-12-19,1.242205,1.243503,1.235102,1.238497,1.238497,0.003708,1.2393025,0.008401,1.23982675
2003-12-22,1.235697,1.244601,1.235697,1.239895,1.239895,-0.004198,1.240149,0.008904,1.2389725
2003-12-23,1.239895,1.267202,1.238804,1.240003,1.240003,-0.000108,1.253003,0.028398,1.246476
2003-12-24,1.240095,1.247194,1.240003,1.245299,1.245299,-0.005204,1.2435985,0.007191,1.24314775
2003-12-25,1.245702,1.247007,1.244307,1.244803,1.244803,0.000899,1.245657,0.0027,1.24545475
2003-12-26,1.245004,1.2471,1.242699,1.243194,1.243194,0.00181,1.2448995,0.004401,1.24449925
2003-12-29,1.243394,1.250797,1.242993,1.248393,1.248393,-0.004999,1.246895,0.007804,1.24639425
2003-12-30,1.248595,1.256297,1.248299,1.254894,1.254894,-0.006299,1.252298,0.007998,1.25202125
2003-12-31,1.255004,1.264894,1.253007,1.259002,1.259002,-0.003998,1.2589505,0.011887,1.25797675
2004-01-01,1.259002,1.260796,1.247396,1.258194,1.258194,0.000808,1.254096,0.0134,1.256347
2004-01-02,1.258194,1.262802,1.252693,1.258194,1.258194,0,1.2577475,0.010109,1.25797075
2004-01-05,1.263903,1.269406,1.263695,1.268698,1.268698,-0.004795,1.2665505,0.005711,1.2664255
2004-01-06,1.268907,1.280803,1.267202,1.272103,1.272103,-0.003196,1.2740025,0.013601,1.27225375
2004-01-07,1.272394,1.273999,1.262499,1.264095,1.264095,0.008299,1.268249,0.0115,1.26824675
2004-01-08,1.264095,1.278707,1.256502,1.277498,1.277498,-0.013403,1.2676045,0.022205,1.2692005
2004-01-09,1.277498,1.286703,1.271294,1.285892,1.285892,-0.008394,1.2789985,0.015409,1.28034675
2004-01-12,1.284802,1.289707,1.273804,1.274096,1.274096,0.010706,1.2817555,0.015903,1.28060225
2004-01-13,1.274405,1.279705,1.271892,1.278593,1.278593,-0.004188,1.2757985,0.007813,1.27614875
2004-01-14,1.278805,1.278805,1.240602,1.265102,1.265102,0.013703,1.2597035,0.038203,1.2658285
